prompt,service
Detect all objects in the image.,YOLO
What are the items present here?,YOLO
Identify all visible objects.,YOLO
What is in this photo?,YOLO
Find all animals in the scene.,YOLO
Show me detected objects.,YOLO
How many people are visible?,YOLO
Locate all cars in this image.,YOLO
Which items can you detect here?,YOLO
Identify everything in this picture.,YOLO
Spot the fruits in this image.,YOLO
Are there any vehicles present?,YOLO
Find the laptop and mobile.,YOLO
Detect all household items.,YOLO
What gadgets are present here?,YOLO
Mark all tools in this photo.,YOLO
Identify electronics shown here.,YOLO
List all things in this street view.,YOLO
Can you detect bags and bottles?,YOLO
Is there any chair or table?,YOLO
Detect traffic signs in this image.,YOLO
Count the number of people here.,YOLO
Is there a tree in this picture?,YOLO
Show bounding boxes for objects.,YOLO
What is placed on the desk?,YOLO
Can you find toys in this photo?,YOLO
Which daily items do you see?,YOLO
Detect shoes and clothes in this image.,YOLO
Locate all utensils in the kitchen.,YOLO
Is there a bike or scooter here?,YOLO
Can you find food items in this plate?,YOLO
What kind of electronics are shown?,YOLO
Find all sports items in this image.,YOLO
Are animals visible in the backyard?,YOLO
Detect tools and mechanical items.,YOLO
Are there fruits or vegetables?,YOLO
How many bags can be seen?,YOLO
Find any jewelry or watches.,YOLO
Can you detect humans in this crowd?,YOLO
Mark all detected categories.,YOLO
Which furniture is present?,YOLO
Is there any remote control visible?,YOLO
Show all detected labels.,YOLO
Detect anything in this image.,YOLO
Can you list detected objects?,YOLO
How many object types are present?,YOLO
What do you detect on the floor?,YOLO
Find everything in the kitchen image.,YOLO
Point out visible items.,YOLO
Spot any moving things.,YOLO
Detect pets in this photo.,YOLO
Are there wires or electronics?,YOLO
What school items are shown?,YOLO
Is there a pen or book here?,YOLO
Spot containers or bottles.,YOLO
Mark anything you recognize.,YOLO
Identify machinery in this image.,YOLO
Is there any construction equipment?,YOLO
"Find baskets, boxes, and bags.",YOLO
What tech items are here?,YOLO
What is written and what does it mean?,PaddleOCR+LLaMA General QA
Read and explain the signboard.,PaddleOCR+LLaMA General QA
Interpret the handwritten text.,PaddleOCR+LLaMA General QA
Extract and summarize the poster.,PaddleOCR+LLaMA General QA
What does the printed text say?,PaddleOCR+LLaMA General QA
Read this and answer questions.,PaddleOCR+LLaMA General QA
Summarize the text on the image.,PaddleOCR+LLaMA General QA
Read this paper and explain the content.,PaddleOCR+LLaMA General QA
Explain the meaning of the written sentence.,PaddleOCR+LLaMA General QA
Can you understand what’s written here?,PaddleOCR+LLaMA General QA
Read the board and describe its purpose.,PaddleOCR+LLaMA General QA
What does the shop board say and mean?,PaddleOCR+LLaMA General QA
Extract the text and explain it.,PaddleOCR+LLaMA General QA
What is the meaning of the headline?,PaddleOCR+LLaMA General QA
Read the letter and summarize.,PaddleOCR+LLaMA General QA
Tell me what’s written and what it’s about.,PaddleOCR+LLaMA General QA
Understand the paragraph in this image.,PaddleOCR+LLaMA General QA
Analyze and answer from the paper.,PaddleOCR+LLaMA General QA
What does this announcement say?,PaddleOCR+LLaMA General QA
Read this chart and explain it.,PaddleOCR+LLaMA General QA
Scan and explain this form.,PaddleOCR+LLaMA General QA
What does the certificate say?,PaddleOCR+LLaMA General QA
Read the note and describe its content.,PaddleOCR+LLaMA General QA
What does the document say overall?,PaddleOCR+LLaMA General QA
Get the idea of the written text.,PaddleOCR+LLaMA General QA
Read and interpret the message.,PaddleOCR+LLaMA General QA
Summarize the instructions on the label.,PaddleOCR+LLaMA General QA
Extract the content and tell its meaning.,PaddleOCR+LLaMA General QA
What’s written in the screenshot?,PaddleOCR+LLaMA General QA
Can you explain the handwritten content?,PaddleOCR+LLaMA General QA
What are the key points in the image?,PaddleOCR+LLaMA General QA
Read and explain the message on the sign.,PaddleOCR+LLaMA General QA
Summarize the bulletin content.,PaddleOCR+LLaMA General QA
Interpret the article in the photo.,PaddleOCR+LLaMA General QA
What is the image telling us?,PaddleOCR+LLaMA General QA
Answer based on the written content.,PaddleOCR+LLaMA General QA
What’s the purpose of this written board?,PaddleOCR+LLaMA General QA
Interpret the content for a 10-year-old.,PaddleOCR+LLaMA General QA
Read the heading and explain it.,PaddleOCR+LLaMA General QA
Understand and explain the writing.,PaddleOCR+LLaMA General QA
Can you understand the written message?,PaddleOCR+LLaMA General QA
What information is given in this image?,PaddleOCR+LLaMA General QA
Read and break down the meaning.,PaddleOCR+LLaMA General QA
Give a short explanation of the document.,PaddleOCR+LLaMA General QA
Read and interpret the essay.,PaddleOCR+LLaMA General QA
What does the passage talk about?,PaddleOCR+LLaMA General QA
Answer a question based on the page.,PaddleOCR+LLaMA General QA
What’s the written context here?,PaddleOCR+LLaMA General QA
Explain what this document is for.,PaddleOCR+LLaMA General QA
Read this and provide insights.,PaddleOCR+LLaMA General QA
Summarize and answer about the writing.,PaddleOCR+LLaMA General QA
What's being discussed in the image?,PaddleOCR+LLaMA General QA
What does the text suggest?,PaddleOCR+LLaMA General QA
Explain the meaning of the passage.,PaddleOCR+LLaMA General QA
Can you answer based on the signboard?,PaddleOCR+LLaMA General QA
Give your understanding of the content.,PaddleOCR+LLaMA General QA
Read the image and describe the theme.,PaddleOCR+LLaMA General QA
What is the message in the writing?,PaddleOCR+LLaMA General QA
Understand and answer about the paper.,PaddleOCR+LLaMA General QA
Tell what this writing is about.,PaddleOCR+LLaMA General QA
What does the written instruction mean?,PaddleOCR+LLaMA General QA
Extract text from this image.,PaddleOCR
What is written on the wall?,PaddleOCR
Read the title in the image.,PaddleOCR
Recognize the characters here.,PaddleOCR
Scan this sign and give the text.,PaddleOCR
Read the handwriting.,PaddleOCR
Convert this photo to text.,PaddleOCR
What’s written on the document?,PaddleOCR
Find the printed text.,PaddleOCR
Scan the book page.,PaddleOCR
Detect the writing on the board.,PaddleOCR
Extract the license plate text.,PaddleOCR
Can you read the newspaper headline?,PaddleOCR
Recognize letters in this form.,PaddleOCR
What is the content of this sign?,PaddleOCR
Read the menu card.,PaddleOCR
Extract numbers from the receipt.,PaddleOCR
Recognize the handwritten numbers.,PaddleOCR
Scan the certificate content.,PaddleOCR
Identify printed matter on this paper.,PaddleOCR
What’s written in the journal?,PaddleOCR
"Text on the label, please.",PaddleOCR
Find the characters in the image.,PaddleOCR
Identify the text on the file.,PaddleOCR
OCR the text in the banner.,PaddleOCR
Read text on product packaging.,PaddleOCR
Can you detect the text only?,PaddleOCR
Only read what’s written here.,PaddleOCR
Recognize this printed letter.,PaddleOCR
Extract characters from poster.,PaddleOCR
Can you OCR this sign?,PaddleOCR
Get the sentence written here.,PaddleOCR
Find the description printed.,PaddleOCR
What letters are visible?,PaddleOCR
Scan and read this label.,PaddleOCR
Read the signs in this street photo.,PaddleOCR
Get all visible writing.,PaddleOCR
"Just the OCR output, please.",PaddleOCR
Recognize and give the letters.,PaddleOCR
Convert this image to plain text.,PaddleOCR
Only extract the visible text.,PaddleOCR
Identify fonts and words here.,PaddleOCR
Read this sticker’s content.,PaddleOCR
Get the brand name on this bottle.,PaddleOCR
Extract writing on the wall.,PaddleOCR
Get all signage text.,PaddleOCR
Find the banner’s content.,PaddleOCR
Read the name from ID card.,PaddleOCR
Text on the advertisement please.,PaddleOCR
Give me the OCR result only.,PaddleOCR
What’s the writing on the book?,PaddleOCR
Extract data from form fields.,PaddleOCR
Read lines on the paper.,PaddleOCR
